garment n.衣服，服装 
garrison n.要塞，警备队 
gas n.气体，煤气，汽油 
gasoline n.汽油 
gasp v. & n.喘息，喘气 
gate n.大门，门票收入 
gather v.聚集，收集，采集 
gathering n.集会，聚集 
gauge n.规格，计量表 
gay adj.快活的，快乐的 
gaze v. & n.凝视，注视 
gear n.齿轮，用品 
gem n.宝石 
general adj.一般的，总的 
generalization n.概括 
generalize v.总结，归纳 
generally adv.通常，大概 
generate v.产生，发生，生殖 
generation n.世代，一代人 
generator n.发电机 
generosity n.慷慨，大方 
generous adj.慷慨的，丰盛的 
genius n.天分，才华，天才 
gentle adj.温柔的，温和的 
gentleman n.绅士，先生，君子 
gently adv.轻轻地，温柔地 
habit n.习惯 
habitual adj.习惯的，惯常的 
haggard adj.消瘦的，憔悴的 
haggle n.争论，讨价还价 
hail v.欢呼 n.冰雹 
hair n.头发，毛发 
haircut n.理发 
hairdress n.美发 
hairpin n.发卡 
hairy adj.毛发的，多毛的 
half n.一半 adv.一半 
halfway adv.半途 
hall n.大厅，会堂 
hallmark n.标志 
halt v. & n.停住 
halve v.对分，减半 
ham n.火腿 
hamburger n.汉堡包 
hammer n.锤子 v.锤击 
hamper v.妨碍 
hand n.手，人手，指针 
handbag n.手袋，手提包 
handbook n.手册 
handful adj.一把，少量 
handicap n.障碍 v.妨碍 
handicapped adj.有残疾的 
handkerchief n.手帕，手绢 
handle v.处理，对待 n.把 
handling n.处理，管理 
handsome adj.漂亮的，得体 
handout n.分发物(印刷品等) 
handwriting n.手写，书法，笔迹 
handy adj.方便的，近便的 
hang v.挂，垂，绞死 
hanger n.衣架 
haphazard adj.偶然的 
happen v.发生，碰巧，出事 
happening n.事件 
happily adv.幸运地 
happiness n.幸福 
happy adj.高兴的，幸运的 
harbor n.港口，停泊处 
hard adj.硬的 adv.努力 
harden v.硬化，变硬 
hardly adv.刚刚，几乎不 
hardness n.坚硬，硬度 
hardship n.困苦，艰难 
hardware n.硬件 
hard-working adj.勤劳的 
hardy adj.耐劳的，耐寒的 
hare n.野兔 
harm n. & v.损害，伤害 
harmful adj.有害的 
harmless adj.无害的，无恶意的 
harmonious adj.和睦的，和谐的 
harmony n.融洽，和谐 
harness v.支配，治理 
harsh adj.刺耳的，严厉的 
